Soil Type,Average Temperature (°C),Average Rainfall (mm),Sunlight Hours (hours),Historical Crop Yields,Predicted Crop Type,Predicted Crop Yield,Confidence Score for Prediction
Loamy soil,21.0692688,1111.129035,8.717469999,3.762963243,Cereal,Medium,0.7378478366
Clayey soil,27.58289473,1397.678813,8.491440972,3.947153483,Pulses,High,0.689981301
Loamy soil,18.73624335,978.2715974,5.230044349,4.553414219,Fruit/Vegetable,High,0.9340462043
Black soil,24.95439338,2135.169325,11.34650323,2.009785919,Pulses,Low,0.5364974976
Clayey soil,27.70198622,1678.31811,4.081773259,3.062649024,Commercial,High,0.721156207
Loamy soil,15.71909177,1992.8677,11.22299007,1.767124661,Fruit/Vegetable,Medium,0.98440984
Clayey soil,35.36787859,1841.129483,8.019724309,3.408081675,Fruit/Vegetable,Medium,0.8323292278
Clayey soil,19.45748016,1982.727037,10.36845172,1.815404684,Pulses,Medium,0.5804495462
Black soil,37.18143789,708.3758378,7.515874605,4.321898926,Fruit/Vegetable,Medium,0.659708969
Black soil,30.87789668,907.2274493,8.706474073,1.666453967,Cereal,Low,0.7918721921
Loamy soil,26.87793161,1189.75555,7.067873503,3.789844314,Pulses,Medium,0.626688981
Loamy soil,23.59535828,1712.57652,11.12321134,2.445278129,Cereal,Low,0.6216298454
Sandy soil,37.51686769,966.0958802,7.058648931,3.131299226,Cereal,High,0.9903699647
Clayey soil,20.90125021,1105.943598,9.159237075,1.15031223,Cereal,Low,0.9557740266
Sandy soil,32.78727883,1090.241868,11.47716694,2.724156972,Cereal,Medium,0.6998866703
Loamy soil,19.07949521,1975.510266,5.000605538,3.626327461,Pulses,High,0.6905168906
Clayey soil,34.62580632,1179.82035,9.456539422,2.065374744,Pulses,Low,0.6668893453
Clayey soil,38.03290664,1144.387661,9.996074898,2.827588828,Fruit/Vegetable,Medium,0.6211047625
Red soil,18.02637169,504.3247973,4.931286992,1.078673899,Pulses,Low,0.8675736588
Sandy soil,17.32608119,618.0252362,10.9099404,3.141251045,Fruit/Vegetable,Low,0.8409500979
Loamy soil,36.94928878,2357.322126,7.793413718,4.422216452,Fruit/Vegetable,Low,0.9851894813
Loamy soil,35.04427445,547.5736715,8.54186019,1.955243716,Commercial,Medium,0.7821229541
Black soil,39.83505906,1838.453498,10.26115781,3.632976161,Cereal,Medium,0.6110906741
Loamy soil,16.26183142,2210.674728,7.259947544,4.89303708,Cereal,High,0.7547135429
Sandy soil,38.48534699,2385.873443,5.604014182,4.110635353,Commercial,Medium,0.8029256896
Sandy soil,35.52238857,2734.817804,6.193108305,4.764876785,Pulses,Low,0.5132000872
Clayey soil,18.97600596,2965.409887,7.275508694,1.140397587,Commercial,High,0.9507781121
Clayey soil,17.28844249,815.7498976,9.681894836,2.361831943,Commercial,Low,0.9649687936
Red soil,28.88279751,1582.121158,4.687077805,1.93218657,Commercial,Medium,0.9840539028
Sandy soil,21.63736921,1676.960005,8.625882908,3.971027832,Pulses,Low,0.6161827532
Black soil,35.3112039,2219.675103,5.595803523,4.225612417,Cereal,Medium,0.6086828453
Red soil,31.27345814,1471.34574,5.820208347,4.431561645,Commercial,Medium,0.6865418669
Red soil,19.68416026,2050.11921,9.165297295,1.95686404,Fruit/Vegetable,Low,0.845368003
Clayey soil,17.22232754,1549.364203,4.419955143,2.680149329,Fruit/Vegetable,High,0.8408652531
Black soil,39.57828902,501.7670814,4.959826306,3.442263702,Fruit/Vegetable,High,0.5294217653
Red soil,21.41291347,1573.730777,8.764952423,1.664886866,Fruit/Vegetable,Medium,0.5763583108
Black soil,37.58928388,1371.255707,6.557304794,1.587637685,Fruit/Vegetable,Medium,0.7120710055
Loamy soil,18.9981346,2128.460591,5.127778717,2.9400547,Commercial,High,0.6663717198
Loamy soil,32.56092816,943.8543232,7.206807182,4.561610641,Fruit/Vegetable,Low,0.5359221125
Clayey soil,37.32430894,1965.133358,4.363854902,4.690662329,Commercial,High,0.6681418864
Clayey soil,24.32181757,1308.844381,9.215895813,4.370568161,Commercial,Low,0.968981203
Red soil,33.44032479,1194.099075,5.392196033,2.304418212,Pulses,Medium,0.6573462178
Red soil,24.50432939,1987.846728,5.633724049,4.601288849,Cereal,High,0.8586613332
Loamy soil,20.64038882,1172.349185,11.65870459,1.831041984,Commercial,High,0.8795911231
Loamy soil,36.71994959,2620.203727,11.57781289,3.782032079,Pulses,High,0.7080789954
Sandy soil,37.18306768,842.3242094,8.369553015,4.689566704,Cereal,Medium,0.5542806169
Red soil,32.62231371,1879.62533,8.568165434,4.233359821,Cereal,Medium,0.680676588
Black soil,24.46024572,1562.361451,7.895235144,4.025291634,Cereal,Low,0.8205660339
Black soil,25.8361723,528.6208529,4.724719489,2.087923658,Fruit/Vegetable,High,0.8118975792
Black soil,39.84033761,705.0260236,11.20884283,1.78350847,Pulses,Medium,0.9146973652
Clayey soil,21.04028207,814.7104887,10.86554416,3.798400914,Commercial,Medium,0.812812465
Sandy soil,39.5662272,2549.033618,5.963178673,1.361012294,Fruit/Vegetable,High,0.9973613216
Black soil,36.90812506,1310.677403,11.0559176,1.755237241,Cereal,High,0.6845815708
Sandy soil,31.76043362,1190.692796,11.59504203,3.474536297,Fruit/Vegetable,High,0.8897370706
Black soil,35.26957207,1239.761494,4.980322111,1.39449844,Cereal,Medium,0.5043480696
